	pearson_reconstructed	pearson_predicted	braycurtis_reconstructed	braycurtis_predicted
11116.I16A086.1198402	0.9465269	0.8375522	0.22863004	0.41577438
11116.L22A103.1196903	0.9997234	0.95759195	0.057409037	0.48093972
11116.L21A068.1196356	0.92785126	0.853006	0.124510966	0.23996505
11116.L05A083.1194023	0.9986332	0.97241324	0.120386384	0.28002048
11116.I19A095.1197578	0.99965096	0.968806	0.049956482	0.52939874
11116.A28A100.1194675	0.9973646	0.9602783	0.10905989	0.23763427
11116.A03D088.1195301	0.96235555	0.75658274	0.18723843	0.44319516
11116.A23B118.1196173	0.9971267	0.8957561	0.11824705	0.34705827
11116.A20C118.1193655	0.9641166	0.8585712	0.16771863	0.39053372
11116.L23A066.1197320	0.9570722	0.8551976	0.1535592	0.2767184
